2026-06-15 15:36:33, tokens_remaining: 1406, call: scores, phase: playing
2026-06-15 15:36:34, tokens_remaining: 1406, call: scores, phase: playing
2026-06-15 15:36:35, tokens_remaining: 1404, call: events, phase: playing
2026-06-15 15:36:36, tokens_remaining: 1403, call: scores, phase: playing
2026-06-15 15:36:37, tokens_remaining: 1403, call: scores, phase: playing
2026-06-15 15:36:38, tokens_remaining: 1402, call: scores, phase: playing
2026-06-15 15:36:39, tokens_remaining: 1402, call: scores, phase: playing
2026-06-15 15:36:40, tokens_remaining: 1400, call: scores, phase: playing
2026-06-15 15:36:41, tokens_remaining: 1400, call: scores, phase: playing
2026-06-15 15:36:42, tokens_remaining: 1399, call: scores, phase: playing
2026-06-15 15:36:43, tokens_remaining: 1398, call: scores, phase: playing
2026-06-15 15:36:44, tokens_remaining: 1397, call: scores, phase: playing
2026-06-15 15:36:45, tokens_remaining: 1396, call: events, phase: playing
2026-06-15 15:36:46, tokens_remaining: 1395, call: scores, phase: playing
2026-06-15 15:36:48, tokens_remaining: 1394, call: scores, phase: playing
2026-06-15 15:36:49, tokens_remaining: 1394, call: scores, phase: playing
2026-06-15 15:36:50, tokens_remaining: 1393, call: scores, phase: playing
2026-06-15 15:36:51, tokens_remaining: 1393, call: scores, phase: playing
2026-06-15 15:36:52, tokens_remaining: 1392, call: scores, phase: playing
2026-06-15 15:36:54, tokens_remaining: 1391, call: scores, phase: playing
2026-06-15 15:36:55, tokens_remaining: 1391, call: scores, phase: playing
2026-06-15 15:36:56, tokens_remaining: 1389, call: scores, phase: playing
2026-06-15 15:36:58, tokens_remaining: 1388, call: events, phase: playing
2026-06-15 15:36:59, tokens_remaining: 1387, call: scores, phase: playing
2026-06-15 15:37:01, tokens_remaining: 1386, call: scores, phase: playing
2026-06-15 15:37:02, tokens_remaining: 1385, call: scores, phase: playing
2026-06-15 15:37:04, tokens_remaining: 1384, call: scores, phase: playing
2026-06-15 15:37:06, tokens_remaining: 1383, call: scores, phase: playing
2026-06-15 15:37:10, tokens_remaining: 1382, call: scores, phase: playing
2026-06-15 15:37:16, tokens_remaining: 1380, call: scores, phase: playing
2026-06-15 15:37:17, tokens_remaining: 1379, call: scores, phase: playing
2026-06-15 15:37:18, tokens_remaining: 1379, call: scores, phase: playing
2026-06-15 15:37:20, tokens_remaining: 1378, call: events, phase: playing
2026-06-15 15:37:20, tokens_remaining: 1377, call: scores, phase: playing
2026-06-15 15:37:22, tokens_remaining: 1376, call: scores, phase: playing
2026-06-15 15:37:23, tokens_remaining: 1376, call: scores, phase: playing
2026-06-15 15:37:24, tokens_remaining: 1375, call: scores, phase: playing
2026-06-15 15:37:25, tokens_remaining: 1375, call: scores, phase: playing
2026-06-15 15:37:26, tokens_remaining: 1374, call: scores, phase: playing
2026-06-15 15:37:27, tokens_remaining: 1373, call: scores, phase: playing
2026-06-15 15:37:28, tokens_remaining: 1373, call: scores, phase: playing
2026-06-15 15:37:29, tokens_remaining: 1371, call: scores, phase: playing
2026-06-15 15:37:30, tokens_remaining: 1370, call: events, phase: playing
2026-06-15 15:37:31, tokens_remaining: 1369, call: scores, phase: playing
2026-06-15 15:37:32, tokens_remaining: 1368, call: scores, phase: playing
2026-06-15 15:37:33, tokens_remaining: 1367, call: scores, phase: playing
2026-06-15 15:37:34, tokens_remaining: 1367, call: scores, phase: playing
2026-06-15 15:37:35, tokens_remaining: 1366, call: scores, phase: playing
2026-06-15 15:37:36, tokens_remaining: 1365, call: scores, phase: playing
2026-06-15 15:37:37, tokens_remaining: 1365, call: scores, phase: playing
2026-06-15 15:37:38, tokens_remaining: 1364, call: scores, phase: playing
2026-06-15 15:37:39, tokens_remaining: 1364, call: scores, phase: playing
2026-06-15 15:37:40, tokens_remaining: 1363, call: events, phase: playing
2026-06-15 15:37:42, tokens_remaining: 1362, call: scores, phase: playing
2026-06-15 15:37:42, tokens_remaining: 1362, call: scores, phase: playing
2026-06-15 15:37:44, tokens_remaining: 1361, call: scores, phase: playing
2026-06-15 15:37:45, tokens_remaining: 1361, call: scores, phase: playing
2026-06-15 15:37:46, tokens_remaining: 1360, call: scores, phase: playing
2026-06-15 15:37:47, tokens_remaining: 1360, call: scores, phase: playing
2026-06-15 15:37:48, tokens_remaining: 1359, call: scores, phase: playing
2026-06-15 15:37:49, tokens_remaining: 1359, call: scores, phase: playing
2026-06-15 15:37:50, tokens_remaining: 1358, call: scores, phase: playing
2026-06-15 15:37:51, tokens_remaining: 1357, call: events, phase: playing
2026-06-15 15:37:54, tokens_remaining: 1356, call: scores, phase: playing
2026-06-15 15:37:55, tokens_remaining: 1355, call: scores, phase: playing
2026-06-15 15:37:57, tokens_remaining: 1354, call: scores, phase: playing
2026-06-15 15:37:58, tokens_remaining: 1354, call: scores, phase: playing
2026-06-15 15:37:59, tokens_remaining: 1353, call: scores, phase: playing
2026-06-15 15:38:00, tokens_remaining: 1353, call: scores, phase: playing
2026-06-15 15:38:01, tokens_remaining: 1352, call: scores, phase: playing
2026-06-15 15:38:02, tokens_remaining: 1352, call: scores, phase: playing
2026-06-15 15:38:04, tokens_remaining: 1351, call: scores, phase: playing
2026-06-15 15:38:05, tokens_remaining: 1350, call: events, phase: playing
2026-06-15 15:38:05, EVENT: YELLOW_CARD 75' Maxim De Cuyper [Belgium vs Egypt]
2026-06-15 15:38:07, tokens_remaining: 1349, call: scores, phase: playing
