2026-06-17 00:14:14, tokens_remaining: 2028, call: scores, phase: playing
2026-06-17 00:14:15, tokens_remaining: 2028, call: scores, phase: playing
2026-06-17 00:14:16, tokens_remaining: 2027, call: scores, phase: playing
2026-06-17 00:14:17, tokens_remaining: 2027, call: scores, phase: playing
2026-06-17 00:14:18, tokens_remaining: 2026, call: scores, phase: playing
2026-06-17 00:14:19, tokens_remaining: 2025, call: events, phase: playing
2026-06-17 00:14:20, tokens_remaining: 2024, call: scores, phase: playing
2026-06-17 00:14:21, tokens_remaining: 2024, call: scores, phase: playing
2026-06-17 00:14:22, tokens_remaining: 2023, call: scores, phase: playing
2026-06-17 00:14:23, tokens_remaining: 2023, call: scores, phase: playing
2026-06-17 00:14:24, tokens_remaining: 2022, call: scores, phase: playing
2026-06-17 00:14:25, tokens_remaining: 2022, call: scores, phase: playing
2026-06-17 00:14:27, tokens_remaining: 2021, call: scores, phase: playing
2026-06-17 00:14:28, tokens_remaining: 2021, call: scores, phase: playing
2026-06-17 00:14:29, tokens_remaining: 2020, call: scores, phase: playing
2026-06-17 00:14:30, tokens_remaining: 2019, call: events, phase: playing
2026-06-17 00:14:31, tokens_remaining: 2018, call: scores, phase: playing
2026-06-17 00:14:32, tokens_remaining: 2018, call: scores, phase: playing
2026-06-17 00:14:33, tokens_remaining: 2017, call: scores, phase: playing
2026-06-17 00:14:34, tokens_remaining: 2017, call: scores, phase: playing
2026-06-17 00:14:35, tokens_remaining: 2016, call: scores, phase: playing
2026-06-17 00:14:36, tokens_remaining: 2016, call: scores, phase: playing
2026-06-17 00:14:37, tokens_remaining: 2015, call: scores, phase: playing
2026-06-17 00:14:37, GOAL: Jordan (Austria 1-1 Jordan)
2026-06-17 00:14:38, tokens_remaining: 2015, call: scores, phase: playing
2026-06-17 00:14:40, tokens_remaining: 2014, call: scores, phase: playing
2026-06-17 00:14:41, tokens_remaining: 2013, call: events, phase: playing
2026-06-17 00:14:42, tokens_remaining: 2012, call: scores, phase: playing
2026-06-17 00:14:43, tokens_remaining: 2012, call: scores, phase: playing
2026-06-17 00:14:44, tokens_remaining: 2011, call: scores, phase: playing
2026-06-17 00:14:45, tokens_remaining: 2011, call: scores, phase: playing
2026-06-17 00:14:46, tokens_remaining: 2010, call: scores, phase: playing
2026-06-17 00:14:47, tokens_remaining: 2010, call: scores, phase: playing
