2026-06-16 15:12:35, tokens_remaining: 1905, call: scores, phase: playing
2026-06-16 15:12:36, tokens_remaining: 1904, call: scores, phase: playing
2026-06-16 15:12:38, tokens_remaining: 1903, call: scores, phase: playing
2026-06-16 15:12:39, tokens_remaining: 1902, call: scores, phase: playing
2026-06-16 15:12:40, tokens_remaining: 1901, call: scores, phase: playing
2026-06-16 15:12:42, tokens_remaining: 1900, call: events, phase: playing
2026-06-16 15:12:43, tokens_remaining: 1899, call: scores, phase: playing
2026-06-16 15:12:44, tokens_remaining: 1898, call: scores, phase: playing
2026-06-16 15:12:45, tokens_remaining: 1897, call: scores, phase: playing
2026-06-16 15:12:47, tokens_remaining: 1896, call: scores, phase: playing
2026-06-16 15:12:48, tokens_remaining: 1895, call: scores, phase: playing
2026-06-16 15:12:49, tokens_remaining: 1894, call: scores, phase: playing
2026-06-16 15:12:51, tokens_remaining: 1893, call: scores, phase: playing
2026-06-16 15:12:52, tokens_remaining: 1892, call: scores, phase: playing
2026-06-16 15:12:53, tokens_remaining: 1891, call: scores, phase: playing
2026-06-16 15:12:55, tokens_remaining: 1890, call: events, phase: playing
2026-06-16 15:12:56, tokens_remaining: 1889, call: scores, phase: playing
2026-06-16 15:12:57, tokens_remaining: 1888, call: scores, phase: playing
2026-06-16 15:12:59, tokens_remaining: 1887, call: scores, phase: playing
2026-06-16 15:13:00, tokens_remaining: 1886, call: scores, phase: playing
2026-06-16 15:13:01, tokens_remaining: 1885, call: scores, phase: playing
2026-06-16 15:13:03, tokens_remaining: 1884, call: scores, phase: playing
2026-06-16 15:13:04, tokens_remaining: 1883, call: scores, phase: playing
2026-06-16 15:13:05, tokens_remaining: 1882, call: scores, phase: playing
2026-06-16 15:13:06, tokens_remaining: 1881, call: scores, phase: playing
2026-06-16 15:13:08, tokens_remaining: 1880, call: events, phase: playing
2026-06-16 15:13:09, tokens_remaining: 1879, call: scores, phase: playing
2026-06-16 15:13:10, tokens_remaining: 1878, call: scores, phase: playing
2026-06-16 15:13:12, tokens_remaining: 1877, call: scores, phase: playing
2026-06-16 15:13:13, tokens_remaining: 1876, call: scores, phase: playing
2026-06-16 15:13:14, tokens_remaining: 1875, call: scores, phase: playing
2026-06-16 15:13:16, tokens_remaining: 1874, call: scores, phase: playing
2026-06-16 15:13:17, tokens_remaining: 1873, call: scores, phase: playing
2026-06-16 15:13:18, tokens_remaining: 1872, call: scores, phase: playing
2026-06-16 15:13:19, tokens_remaining: 1871, call: scores, phase: playing
2026-06-16 15:13:21, tokens_remaining: 1870, call: events, phase: playing
2026-06-16 15:13:22, tokens_remaining: 1869, call: scores, phase: playing
2026-06-16 15:13:23, tokens_remaining: 1868, call: scores, phase: playing
2026-06-16 15:13:25, tokens_remaining: 1867, call: scores, phase: playing
2026-06-16 15:13:26, tokens_remaining: 1866, call: scores, phase: playing
2026-06-16 15:13:27, tokens_remaining: 1865, call: scores, phase: playing
2026-06-16 15:13:29, tokens_remaining: 1864, call: scores, phase: playing
2026-06-16 15:13:30, tokens_remaining: 1863, call: scores, phase: playing
2026-06-16 15:13:31, tokens_remaining: 1862, call: scores, phase: playing
2026-06-16 15:13:32, tokens_remaining: 1861, call: scores, phase: playing
2026-06-16 15:13:34, tokens_remaining: 1860, call: events, phase: playing
2026-06-16 15:13:35, tokens_remaining: 1859, call: scores, phase: playing
2026-06-16 15:13:36, tokens_remaining: 1858, call: scores, phase: playing
2026-06-16 15:13:38, tokens_remaining: 1857, call: scores, phase: playing
2026-06-16 15:13:39, tokens_remaining: 1856, call: scores, phase: playing
2026-06-16 15:13:40, tokens_remaining: 1855, call: scores, phase: playing
2026-06-16 15:13:42, tokens_remaining: 1854, call: scores, phase: playing
2026-06-16 15:13:43, tokens_remaining: 1853, call: scores, phase: playing
2026-06-16 15:13:44, tokens_remaining: 1852, call: scores, phase: playing
2026-06-16 15:13:46, tokens_remaining: 1851, call: scores, phase: playing
2026-06-16 15:13:47, tokens_remaining: 1850, call: events, phase: playing
2026-06-16 15:13:48, tokens_remaining: 1849, call: scores, phase: playing
2026-06-16 15:13:49, tokens_remaining: 1848, call: scores, phase: playing
2026-06-16 15:13:51, tokens_remaining: 1847, call: scores, phase: playing
2026-06-16 15:13:52, tokens_remaining: 1846, call: scores, phase: playing
