2026-06-18 17:03:50, tokens_remaining: 2363, call: scores, phase: playing
2026-06-18 17:03:50, tokens_remaining: 2363, call: scores, phase: playing
2026-06-18 17:03:50, tokens_remaining: 2363, call: scores, phase: playing
2026-06-18 17:03:51, tokens_remaining: 2362, call: scores, phase: playing
2026-06-18 17:03:51, tokens_remaining: 2362, call: scores, phase: playing
2026-06-18 17:03:51, tokens_remaining: 2362, call: scores, phase: playing
2026-06-18 17:03:52, tokens_remaining: 2361, call: events, phase: playing
2026-06-18 17:03:52, tokens_remaining: 2360, call: scores, phase: playing
2026-06-18 17:03:52, tokens_remaining: 2360, call: scores, phase: playing
2026-06-18 17:03:52, tokens_remaining: 2360, call: scores, phase: playing
2026-06-18 17:03:53, tokens_remaining: 2360, call: scores, phase: playing
2026-06-18 17:03:53, tokens_remaining: 2360, call: scores, phase: playing
2026-06-18 17:03:53, tokens_remaining: 2360, call: scores, phase: playing
2026-06-18 17:03:53, tokens_remaining: 2359, call: scores, phase: playing
2026-06-18 17:03:54, tokens_remaining: 2359, call: scores, phase: playing
2026-06-18 17:03:54, tokens_remaining: 2359, call: scores, phase: playing
2026-06-18 17:03:54, tokens_remaining: 2358, call: events, phase: playing
2026-06-18 17:03:55, tokens_remaining: 2357, call: scores, phase: playing
2026-06-18 17:03:55, tokens_remaining: 2357, call: scores, phase: playing
2026-06-18 17:03:55, tokens_remaining: 2357, call: scores, phase: playing
2026-06-18 17:03:55, tokens_remaining: 2357, call: scores, phase: playing
2026-06-18 17:03:55, tokens_remaining: 2357, call: scores, phase: playing
2026-06-18 17:03:56, tokens_remaining: 2357, call: scores, phase: playing
2026-06-18 17:03:56, tokens_remaining: 2356, call: scores, phase: playing
2026-06-18 17:03:56, tokens_remaining: 2356, call: scores, phase: playing
2026-06-18 17:03:56, tokens_remaining: 2356, call: scores, phase: playing
2026-06-18 17:03:57, tokens_remaining: 2355, call: events, phase: playing
2026-06-18 17:03:57, tokens_remaining: 2354, call: scores, phase: playing
2026-06-18 17:03:57, tokens_remaining: 2354, call: scores, phase: playing
2026-06-18 17:03:58, tokens_remaining: 2354, call: scores, phase: playing
2026-06-18 17:03:58, tokens_remaining: 2354, call: scores, phase: playing
2026-06-18 17:03:58, tokens_remaining: 2354, call: scores, phase: playing
